PairlD,sentence1,sentence2,score
230,"Song , nếu qui_hoạch để xây_dựng các cơ_sở sản_xuất , kinh_tế của các tổ_chức xã_hội và cá_nhân , cần phải có sự sòng_phẳng về giá_cả , tránh tình_trạng lấy của người nghèo cho người giàu - đã xảy ra ở một_số nơi hiện_nay .",Một số địa phương đang rà soát lại các dự án phát triển kinh tế để đảm bảo hài hòa lợi ích giữa doanh nghiệp và cộng đồng dân cư.,1
231,"Song , nếu qui_hoạch để xây_dựng các cơ_sở sản_xuất , kinh_tế của các tổ_chức xã_hội và cá_nhân , cần phải có sự sòng_phẳng về giá_cả , tránh tình_trạng lấy của người nghèo cho người giàu - đã xảy ra ở một_số nơi hiện_nay .","Tuy nhiên, nếu quy hoạch nhằm xây dựng các cơ sở sản xuất, kinh doanh cho tổ chức và cá nhân thì phải bảo đảm giá cả công bằng, tránh tình trạng chuyển lợi ích từ người nghèo sang người giàu như đã từng xảy ra ở một số nơi.",2
232,"Đây là hai công_trình do người_dân hiến đất , quận đầu_tư kinh_phí xây_dựng .",Giá xăng dầu trong nước vừa được điều chỉnh giảm nhẹ từ chiều nay.,0
233,"Đây là hai công_trình do người_dân hiến đất , quận đầu_tư kinh_phí xây_dựng .",Nhiều dự án hạ tầng tại địa phương được triển khai nhờ sự phối hợp giữa chính quyền và sự đóng góp của người dân.,1
234,"Đây là hai công_trình do người_dân hiến đất , quận đầu_tư kinh_phí xây_dựng .",Hai công trình này được xây dựng bằng kinh phí của quận trên phần đất do người dân tự nguyện hiến tặng.,2
235,"Đường Hoàng_Bật_Đạt dài 420 m , lộ_giới 12 m , có 96 hộ bị ảnh_hưởng , diện_tích đất người_dân hiến ( không nhận tiền đền_bù ) là 798 m2",Sản lượng xuất khẩu thủy sản năm nay tăng mạnh so với cùng kỳ năm trước.,0
236,"Đường Hoàng_Bật_Đạt dài 420 m , lộ_giới 12 m , có 96 hộ bị ảnh_hưởng , diện_tích đất người_dân hiến ( không nhận tiền đền_bù ) là 798 m2","Dự án mở rộng tuyến đường trong khu vực đã tác động đến nhiều hộ dân, trong đó một số gia đình tự nguyện bàn giao đất để thi công.",1
237,"Đường Hoàng_Bật_Đạt dài 420 m , lộ_giới 12 m , có 96 hộ bị ảnh_hưởng , diện_tích đất người_dân hiến ( không nhận tiền đền_bù ) là 798 m2","Tuyến đường Hoàng Bật Đạt có chiều dài 420 mét, bề rộng 12 mét, ảnh hưởng đến 96 hộ dân; tổng diện tích đất người dân tự nguyện hiến mà không nhận bồi thường là 798 mét vuông.",2
238,"Đường Trần_Thánh_Tông dài 365 m , lộ_giới 16 m , có 46 hộ bị ảnh_hưởng , diện_tích đất người_dân hiến là 1.825 m2",Tỷ lệ lạm phát trong quý đầu năm được kiểm soát ở mức thấp hơn dự kiến.,0
239,"Đường Trần_Thánh_Tông dài 365 m , lộ_giới 16 m , có 46 hộ bị ảnh_hưởng , diện_tích đất người_dân hiến là 1.825 m2",Việc mở rộng một số tuyến đường trong quận đã khiến hàng chục hộ dân phải điều chỉnh diện tích đất ở để phục vụ thi công.,1
240,"Đường Trần_Thánh_Tông dài 365 m , lộ_giới 16 m , có 46 hộ bị ảnh_hưởng , diện_tích đất người_dân hiến là 1.825 m2","Tuyến Trần Thánh Tông có chiều dài 365 mét, bề rộng 16 mét, ảnh hưởng đến 46 hộ dân và tổng diện tích đất do người dân hiến là 1.825 mét vuông.",2
241,"Đề_nghị thanh_tra việc xây_dựng trái_phép tại khu_vực Thanh_Đa , Bình_Thạnh",Giá lương thực trên thị trường thế giới đang có xu hướng giảm trong tháng này.,0
242,"Đề_nghị thanh_tra việc xây_dựng trái_phép tại khu_vực Thanh_Đa , Bình_Thạnh",Cơ quan chức năng đang rà soát tình trạng vi phạm trật tự xây dựng tại một số quận nội thành.,1
243,"Đề_nghị thanh_tra việc xây_dựng trái_phép tại khu_vực Thanh_Đa , Bình_Thạnh","Có đề xuất tiến hành thanh tra các công trình xây dựng không phép ở khu vực Thanh Đa, quận Bình Thạnh.",2
244,"Quĩ này sẽ được thưởng cho CBCC theo hiệu_suất làm_việc , thái_độ phục_vụ người_dân và doanh_nghiệp chứ không chia đều .",Thành phố dự kiến tổ chức lễ hội văn hóa vào dịp cuối năm để thu hút du khách.,0
245,"Quĩ này sẽ được thưởng cho CBCC theo hiệu_suất làm_việc , thái_độ phục_vụ người_dân và doanh_nghiệp chứ không chia đều .","Việc đánh giá cán bộ, công chức sẽ dựa trên kết quả công việc và mức độ hài lòng của người dân.",1
246,"Quĩ này sẽ được thưởng cho CBCC theo hiệu_suất làm_việc , thái_độ phục_vụ người_dân và doanh_nghiệp chứ không chia đều .","Quỹ này sẽ được phân bổ để khen thưởng cán bộ, công chức căn cứ vào hiệu quả công tác và thái độ phục vụ người dân, doanh nghiệp, thay vì chia đồng loạt cho tất cả.",2
247,Nguồn của quĩ thưởng trích từ nguồn ngân_sách dự_phòng của thành_phố .,Đội tuyển bóng chuyền quốc gia đang tập huấn chuẩn bị cho giải khu vực.,0
248,Nguồn của quĩ thưởng trích từ nguồn ngân_sách dự_phòng của thành_phố .,Kinh phí chi cho việc khen thưởng cán bộ sẽ được cân đối trong kế hoạch tài chính hằng năm của địa phương.,1
249,Nguồn của quĩ thưởng trích từ nguồn ngân_sách dự_phòng của thành_phố .,Quỹ khen thưởng này được lấy từ phần ngân sách dự phòng của thành phố.,2
250,"Khi xây_dựng được 43 căn thì 33 căn phải đập bỏ do không đảm_bảo chất_lượng , 10 căn còn lại phải gia_cố phần mái theo đúng thiết_kế mới được nghiệm_thu .",Giá xăng dầu hôm nay được điều chỉnh giảm nhẹ so với tuần trước.,0
251,"Khi xây_dựng được 43 căn thì 33 căn phải đập bỏ do không đảm_bảo chất_lượng , 10 căn còn lại phải gia_cố phần mái theo đúng thiết_kế mới được nghiệm_thu .",Một số công trình nhà ở xã hội đã bị yêu cầu khắc phục sai sót kỹ thuật trước khi bàn giao cho người sử dụng.,1
252,"Khi xây_dựng được 43 căn thì 33 căn phải đập bỏ do không đảm_bảo chất_lượng , 10 căn còn lại phải gia_cố phần mái theo đúng thiết_kế mới được nghiệm_thu .","Trong tổng số 43 căn đã xây dựng, có 33 căn bị buộc phá dỡ vì không đạt chất lượng, còn 10 căn phải sửa lại phần mái đúng theo thiết kế thì mới được chấp thuận nghiệm thu.",2
253,"Theo yêu_cầu của Thủ_tướng , UBND TP Cần_Thơ phải kiểm_tra vụ_việc mà Tuổi_Trẻ nêu và báo_cáo lên Thủ_tướng trong tháng 9-2004 .",Giá cà phê xuất khẩu của Việt Nam tăng mạnh trong quý III năm nay.,0
254,"Theo yêu_cầu của Thủ_tướng , UBND TP Cần_Thơ phải kiểm_tra vụ_việc mà Tuổi_Trẻ nêu và báo_cáo lên Thủ_tướng trong tháng 9-2004 .",Chính phủ yêu cầu các địa phương khẩn trương rà soát và báo cáo kết quả xử lý những vấn đề báo chí phản ánh.,1
255,"Theo yêu_cầu của Thủ_tướng , UBND TP Cần_Thơ phải kiểm_tra vụ_việc mà Tuổi_Trẻ nêu và báo_cáo lên Thủ_tướng trong tháng 9-2004 .","Thực hiện chỉ đạo của Thủ tướng, UBND thành phố Cần Thơ có trách nhiệm kiểm tra vụ việc do báo Tuổi Trẻ phản ánh và báo cáo lại cho Thủ tướng trong tháng 9 năm 2004.**",2
256,"Như thông_tin đã đưa , 11 máy camera sẽ do 24 chiến_sĩ CSGT mặc thường_phục chia nhau làm_việc suốt ngày_đêm trên nhiều tuyến đường .",Giá nhà đất tại khu vực trung tâm thành phố đang có xu hướng tăng mạnh.,0
257,"Như thông_tin đã đưa , 11 máy camera sẽ do 24 chiến_sĩ CSGT mặc thường_phục chia nhau làm_việc suốt ngày_đêm trên nhiều tuyến đường .",Lực lượng cảnh sát giao thông tăng cường tuần tra và xử lý vi phạm trên các trục đường chính trong giờ cao điểm.,1
258,"Như thông_tin đã đưa , 11 máy camera sẽ do 24 chiến_sĩ CSGT mặc thường_phục chia nhau làm_việc suốt ngày_đêm trên nhiều tuyến đường .","Theo thông tin trước đó, 24 cán bộ CSGT mặc thường phục sẽ thay phiên nhau vận hành 11 camera, hoạt động liên tục ngày đêm trên nhiều tuyến đường.",2
259,"Sau đó , khi hệ_thống xử_lý hình_ảnh hoàn_thiện , thêm 60 camera cố_định đặt ở các giao_lộ cũng sẽ tham_gia ghi_hình các xe vi_phạm .",Giá vàng trong nước sáng nay tiếp tục tăng theo đà của thị trường thế giới.,0
260,"Sau đó , khi hệ_thống xử_lý hình_ảnh hoàn_thiện , thêm 60 camera cố_định đặt ở các giao_lộ cũng sẽ tham_gia ghi_hình các xe vi_phạm .",Thành phố đang mở rộng mạng lưới thiết bị giám sát để nâng cao hiệu quả phát hiện và xử lý vi phạm giao thông.,1
261,"Sau đó , khi hệ_thống xử_lý hình_ảnh hoàn_thiện , thêm 60 camera cố_định đặt ở các giao_lộ cũng sẽ tham_gia ghi_hình các xe vi_phạm .","Khi hệ thống xử lý hình ảnh được hoàn thiện, 60 camera cố định lắp tại các giao lộ sẽ được bổ sung để ghi lại hình ảnh các phương tiện vi phạm.",2
262,"Theo Phòng CSGT đường_bộ TP. HCM , chỉ trong khoảng ba ngày , phòng này sẽ phát_hành "" phiếu báo vi_phạm "" .",Sở Y tế thành phố vừa triển khai chiến dịch tiêm phòng cúm mùa cho người cao tuổi.,0
263,"Theo Phòng CSGT đường_bộ TP. HCM , chỉ trong khoảng ba ngày , phòng này sẽ phát_hành "" phiếu báo vi_phạm "" .",Cơ quan chức năng cho biết thời gian xử lý và gửi thông báo vi phạm sẽ được rút ngắn nhờ áp dụng công nghệ mới.,1
264,"Theo Phòng CSGT đường_bộ TP. HCM , chỉ trong khoảng ba ngày , phòng này sẽ phát_hành "" phiếu báo vi_phạm "" .","Phòng CSGT đường bộ TP.HCM cho biết trong vòng khoảng ba ngày, đơn vị này sẽ gửi phiếu thông báo vi phạm.",2
265,"Khi được mời lên xử_lý , người vi_phạm phải mang theo xe , giấy đăng_ký xe , bằng lái_xe nếu xe trên 50 phân_khối .",Thành phố dự kiến xây thêm nhiều công viên cây xanh trong năm tới.,0
266,"Khi được mời lên xử_lý , người vi_phạm phải mang theo xe , giấy đăng_ký xe , bằng lái_xe nếu xe trên 50 phân_khối .",Người điều khiển phương tiện vi phạm sẽ phải đến cơ quan chức năng để làm việc theo thông báo đã gửi.,1
267,"Khi được mời lên xử_lý , người vi_phạm phải mang theo xe , giấy đăng_ký xe , bằng lái_xe nếu xe trên 50 phân_khối .","Khi được yêu cầu đến giải quyết, người vi phạm cần đem theo phương tiện, giấy đăng ký xe và giấy phép lái xe đối với xe có dung tích trên 50cc.",2
268,Và tất_cả hàng_hoá trên được nhập_khẩu theo các tờ khai Hải_quan và các giấy chứng_nhận hợp chuẩn cần_thiết ...,Thành phố vừa khởi công xây dựng một cây cầu mới bắc qua sông.,0
269,Và tất_cả hàng_hoá trên được nhập_khẩu theo các tờ khai Hải_quan và các giấy chứng_nhận hợp chuẩn cần_thiết ...,Doanh nghiệp cho biết lô hàng đã hoàn tất các thủ tục kiểm định chất lượng trước khi được phép lưu thông trên thị trường.,1
270,Và tất_cả hàng_hoá trên được nhập_khẩu theo các tờ khai Hải_quan và các giấy chứng_nhận hợp chuẩn cần_thiết ...,Toàn bộ số hàng nói trên đều được nhập khẩu dựa trên các tờ khai hải quan và đầy đủ giấy chứng nhận hợp chuẩn theo quy định.,2
271,Thanh_tra việc xử_lý tài_sản thế_chấp ở một_số ngân_hàng,Giải bóng đá vô địch quốc gia sẽ khởi tranh vào cuối tuần này.,0
272,Thanh_tra việc xử_lý tài_sản thế_chấp ở một_số ngân_hàng,Ngân hàng Nhà nước đang rà soát hoạt động cho vay và quản lý rủi ro tại một số tổ chức tín dụng.,1
273,Thanh_tra việc xử_lý tài_sản thế_chấp ở một_số ngân_hàng,Tiến hành thanh tra công tác xử lý tài sản bảo đảm tại một số ngân hàng.,2
274,"Được biết , có bốn NH cổ_phần tại TP. HCM và hai NH thương_mại Nhà_nước liên_quan đến việc bán tài_sản thế_chấp , xiết_nợ của ba công_ty và tài_sản Epco - Minh_Phụng .",Thành phố vừa công bố kế hoạch tổ chức lễ hội văn hóa truyền thống vào tháng tới.,0
275,"Được biết , có bốn NH cổ_phần tại TP. HCM và hai NH thương_mại Nhà_nước liên_quan đến việc bán tài_sản thế_chấp , xiết_nợ của ba công_ty và tài_sản Epco - Minh_Phụng .",Một số ngân hàng tại TP.HCM đang bị xem xét trách nhiệm trong quá trình xử lý tài sản bảo đảm của doanh nghiệp vay vốn.,1
276,"Được biết , có bốn NH cổ_phần tại TP. HCM và hai NH thương_mại Nhà_nước liên_quan đến việc bán tài_sản thế_chấp , xiết_nợ của ba công_ty và tài_sản Epco - Minh_Phụng .","Theo thông tin được biết, bốn ngân hàng cổ phần ở TP.HCM cùng hai ngân hàng thương mại Nhà nước có liên quan đến việc bán tài sản thế chấp, thu hồi nợ của ba công ty và khối tài sản Epco – Minh Phụng.",2
277,BQL cho biết phía quận 8 có 442 hộ phải giải_toả ( giải_toả trắng 185 hộ ) .,Giá vàng thế giới hôm nay giảm nhẹ sau nhiều phiên tăng liên tiếp.,0
278,BQL cho biết phía quận 8 có 442 hộ phải giải_toả ( giải_toả trắng 185 hộ ) .,"Tại một số địa bàn, hàng trăm hộ dân bị ảnh hưởng bởi dự án và phải di dời để bàn giao mặt bằng.",1
279,BQL cho biết phía quận 8 có 442 hộ phải giải_toả ( giải_toả trắng 185 hộ ) .,"Theo Ban Quản lý, ở quận 8 có 442 hộ thuộc diện phải giải tỏa, trong đó 185 hộ bị giải tỏa hoàn toàn.",2
280,"Hội_đồng đền_bù đã áp_giá xong 100 căn , tuy_nhiên đến nay Ban bồi_thường giải_phóng mặt_bằng vẫn chưa mời người_dân đến hiệp_thương .",Đội tuyển quốc gia đang chuẩn bị lực lượng cho giải đấu khu vực sắp tới.,0
281,"Hội_đồng đền_bù đã áp_giá xong 100 căn , tuy_nhiên đến nay Ban bồi_thường giải_phóng mặt_bằng vẫn chưa mời người_dân đến hiệp_thương .",Quá trình thương lượng bồi thường với các hộ dân vẫn đang gặp nhiều vướng mắc do chưa đạt được sự đồng thuận về mức giá.,1
282,"Hội_đồng đền_bù đã áp_giá xong 100 căn , tuy_nhiên đến nay Ban bồi_thường giải_phóng mặt_bằng vẫn chưa mời người_dân đến hiệp_thương .","Hội đồng bồi thường đã hoàn tất việc định giá 100 căn nhà, nhưng đến thời điểm này Ban bồi thường giải phóng mặt bằng vẫn chưa tổ chức mời người dân đến để thương lượng.",2
283,Phía quận 5 có 46 hộ cần giải_toả ( giải_toả trắng 25 hộ ) nhưng các hộ đang khiếu_nại về giá đền_bù và việc tái định_cư .,Thị trường chứng khoán hôm nay ghi nhận sự tăng điểm ở nhóm cổ phiếu ngân hàng.,0
284,Phía quận 5 có 46 hộ cần giải_toả ( giải_toả trắng 25 hộ ) nhưng các hộ đang khiếu_nại về giá đền_bù và việc tái định_cư .,Nhiều hộ dân thuộc diện di dời vẫn chưa đồng thuận với phương án bồi thường và bố trí nơi ở mới do còn vướng mắc về quyền lợi.,1
285,Phía quận 5 có 46 hộ cần giải_toả ( giải_toả trắng 25 hộ ) nhưng các hộ đang khiếu_nại về giá đền_bù và việc tái định_cư .,"Tại quận 5 có 46 hộ phải giải tỏa, trong đó 25 hộ bị giải tỏa hoàn toàn, song các hộ dân này đang khiếu nại về mức bồi thường và việc bố trí tái định cư.",2
286,"Quận 4 giải_toả trắng 47 hộ đã hoàn_tất công_tác đo vẽ , đang hiệp_thương .",Giá điện sinh hoạt dự kiến sẽ được điều chỉnh trong quý tới.,0
287,"Quận 4 giải_toả trắng 47 hộ đã hoàn_tất công_tác đo vẽ , đang hiệp_thương .","Một số quận nội thành đã hoàn thành việc kiểm kê, đo đạc hiện trạng nhà đất để chuẩn bị cho quá trình bồi thường.",1
288,"Quận 4 giải_toả trắng 47 hộ đã hoàn_tất công_tác đo vẽ , đang hiệp_thương .","Tại quận 4, 47 hộ thuộc diện giải tỏa hoàn toàn đã được đo vẽ xong và hiện đang trong giai đoạn thương lượng.",2
289,"Còn phía quận 1 có 21 hộ cần giải_toả ( giải_toả trắng hai hộ ) , hiện còn tám hộ chưa hiệp_thương , trong đó bảy hộ khiếu_nại về giá bồi_thường và yêu_cầu tăng_giá bồi_thường .",Sở Giao thông Vận tải vừa công bố kế hoạch điều chỉnh lộ trình một số tuyến xe buýt trong thành phố.,0
290,"Còn phía quận 1 có 21 hộ cần giải_toả ( giải_toả trắng hai hộ ) , hiện còn tám hộ chưa hiệp_thương , trong đó bảy hộ khiếu_nại về giá bồi_thường và yêu_cầu tăng_giá bồi_thường .",Một số hộ dân thuộc diện di dời vẫn chưa đồng thuận với phương án bồi thường do cho rằng mức giá đưa ra chưa thỏa đáng.,1
291,"Còn phía quận 1 có 21 hộ cần giải_toả ( giải_toả trắng hai hộ ) , hiện còn tám hộ chưa hiệp_thương , trong đó bảy hộ khiếu_nại về giá bồi_thường và yêu_cầu tăng_giá bồi_thường .","Tại quận 1 có 21 hộ phải giải tỏa, trong đó hai hộ bị giải tỏa hoàn toàn; hiện vẫn còn tám hộ chưa thương lượng xong, và bảy hộ trong số đó đang khiếu nại, đề nghị nâng mức bồi thường.",2
292,"Theo báo_cáo của huyện Duy_Xuyên , lửa hiện vẫn tiếp_tục bùng_phát cháy nhiều nơi trong các ngày 7 và 8 - 9 .",Giá xăng dầu trong nước được điều chỉnh giảm nhẹ từ chiều nay.,0
293,"Theo báo_cáo của huyện Duy_Xuyên , lửa hiện vẫn tiếp_tục bùng_phát cháy nhiều nơi trong các ngày 7 và 8 - 9 .",Lực lượng chức năng tại địa phương đang nỗ lực khống chế các đám cháy xảy ra trên diện rộng trong những ngày gần đây.,1
294,"Theo báo_cáo của huyện Duy_Xuyên , lửa hiện vẫn tiếp_tục bùng_phát cháy nhiều nơi trong các ngày 7 và 8 - 9 .","Theo báo cáo của huyện Duy Xuyên, trong các ngày 7 và 8-9, lửa vẫn tiếp tục bùng lên và cháy ở nhiều khu vực.",2
295,"Ngay như bị_cáo Nguyễn_Mạnh_Tuân cũng bị xử 4 năm tù_giam , thấp hơn so với mức VKS đề_nghị trước đó ( 5 năm ) .",Giá nhà đất tại khu vực trung tâm thành phố đang tăng mạnh trong thời gian gần đây.,0
296,"Ngay như bị_cáo Nguyễn_Mạnh_Tuân cũng bị xử 4 năm tù_giam , thấp hơn so với mức VKS đề_nghị trước đó ( 5 năm ) .","Tòa án đã tuyên án đối với một số bị cáo, trong đó có người nhận mức án thấp hơn đề nghị của viện kiểm sát.",1
297,"Ngay như bị_cáo Nguyễn_Mạnh_Tuân cũng bị xử 4 năm tù_giam , thấp hơn so với mức VKS đề_nghị trước đó ( 5 năm ) .","Bị cáo Nguyễn Mạnh Tuân bị tuyên phạt 4 năm tù giam, thấp hơn mức 5 năm tù mà Viện Kiểm sát đã đề nghị trước đó.",2
298,"Còn bị_cáo Trần_Sơn chỉ bị tuyên chín tháng tù , nhưng cho hưởng án_treo .",Giá vàng thế giới hôm nay tăng mạnh do biến động kinh tế toàn cầu.,0
299,"Còn bị_cáo Trần_Sơn chỉ bị tuyên chín tháng tù , nhưng cho hưởng án_treo .",Một số bị cáo khác trong vụ án cũng nhận mức án nhẹ và được xem xét cho hưởng án treo.,1
300,"Còn bị_cáo Trần_Sơn chỉ bị tuyên chín tháng tù , nhưng cho hưởng án_treo .",Bị cáo Trần Sơn bị tuyên phạt 9 tháng tù và được cho hưởng án treo.,2
